TraesCS1A03G0004000,GO:0006412,translation
TraesCS1A03G0005000,GO:0055114,oxidation-reduction process
TraesCS1A03G0005200,GO:0015914,phospholipid transport
TraesCS1A03G0005600,GO:0006355,"regulation of transcription, DNA-templated"
TraesCS1A03G0006700,GO:0006139,nucleobase-containing compound metabolic process
TraesCS1A03G0009000,GO:0006468,protein phosphorylation
TraesCS1A03G0011100,GO:0006468,protein phosphorylation
TraesCS1A03G0011500,GO:0032780,negative regulation of ATPase activity
TraesCS1A03G0012500,GO:0006468,protein phosphorylation
TraesCS1A03G0014300,GO:0006468,protein phosphorylation
TraesCS1A03G0014400,GO:0006468,protein phosphorylation
TraesCS1A03G0014600,GO:0006468,protein phosphorylation
TraesCS1A03G0014800,GO:0007034,vacuolar transport
TraesCS1A03G0014900,GO:0006468,protein phosphorylation
TraesCS1A03G0016000,GO:0051090,regulation of sequence-specific DNA binding transcription factor activity
TraesCS1A03G0016000,GO:0006352,"DNA-templated transcription, initiation"
TraesCS1A03G0016400,GO:0007034,vacuolar transport
TraesCS1A03G0016500,GO:0006468,protein phosphorylation
TraesCS1A03G0017100,GO:0006468,protein phosphorylation
TraesCS1A03G0017200,GO:0006468,protein phosphorylation
TraesCS1A03G0017500,GO:0006468,protein phosphorylation
TraesCS1A03G0018400,GO:0006468,protein phosphorylation
TraesCS1A03G0018600,GO:0006468,protein phosphorylation
TraesCS1A03G0018800,GO:0006468,protein phosphorylation
TraesCS1A03G0018900,GO:0006468,protein phosphorylation
TraesCS1A03G0020600,GO:0000413,protein peptidyl-prolyl isomerization
TraesCS1A03G0020600,GO:0006457,protein folding
TraesCS1A03G0023500,GO:0055114,oxidation-reduction process
TraesCS1A03G0023800,GO:0008152,metabolic process
TraesCS1A03G0025600,GO:0006468,protein phosphorylation
TraesCS1A03G0027600,GO:0005975,carbohydrate metabolic process
TraesCS1A03G0028600,GO:0006412,translation
TraesCS1A03G0029800,GO:0006468,protein phosphorylation
TraesCS1A03G0029900,GO:0006468,protein phosphorylation
TraesCS1A03G0030000,GO:0006468,protein phosphorylation
TraesCS1A03G0031500,GO:0006886,intracellular protein transport
TraesCS1A03G0031500,GO:0016192,vesicle-mediated transport
TraesCS1A03G0031900,GO:0008152,metabolic process
TraesCS1A03G0032000,GO:0008152,metabolic process
TraesCS1A03G0032100,GO:0008152,metabolic process
TraesCS1A03G0033600,GO:0006952,defense response
TraesCS1A03G0033800,GO:0016567,protein ubiquitination
TraesCS1A03G0033900,GO:0009058,biosynthetic process
TraesCS1A03G0034100,GO:0006952,defense response
TraesCS1A03G0034200,GO:0006952,defense response
TraesCS1A03G0034700,GO:0006468,protein phosphorylation
TraesCS1A03G0034800,GO:0048544,recognition of pollen
TraesCS1A03G0034800,GO:0006468,protein phosphorylation
TraesCS1A03G0035200,GO:0006952,defense response
TraesCS1A03G0036100,GO:0048544,recognition of pollen
TraesCS1A03G0036100,GO:0006468,protein phosphorylation
TraesCS1A03G0036200,GO:0048544,recognition of pollen
TraesCS1A03G0036200,GO:0006468,protein phosphorylation
TraesCS1A03G0037500,GO:0055114,oxidation-reduction process
TraesCS1A03G0037600,GO:0055114,oxidation-reduction process
TraesCS1A03G0037700,GO:0055114,oxidation-reduction process
TraesCS1A03G0037800,GO:0055114,oxidation-reduction process
TraesCS1A03G0037900,GO:0006468,protein phosphorylation
TraesCS1A03G0037900,GO:0048544,recognition of pollen
TraesCS1A03G0038100,GO:0048544,recognition of pollen
TraesCS1A03G0038100,GO:0006468,protein phosphorylation
TraesCS1A03G0038300,GO:0006468,protein phosphorylation
TraesCS1A03G0038300,GO:0048544,recognition of pollen
TraesCS1A03G0038900,GO:0006468,protein phosphorylation
TraesCS1A03G0039300,GO:0006468,protein phosphorylation
TraesCS1A03G0039800,GO:0006468,protein phosphorylation
TraesCS1A03G0040900,GO:0006468,protein phosphorylation
TraesCS1A03G0041900,GO:0006468,protein phosphorylation
TraesCS1A03G0042000,GO:0006468,protein phosphorylation
TraesCS1A03G0042200,GO:0048544,recognition of pollen
TraesCS1A03G0042200,GO:0006468,protein phosphorylation
TraesCS1A03G0042900,GO:0006468,protein phosphorylation
TraesCS1A03G0043100,GO:0006468,protein phosphorylation
TraesCS1A03G0043600,GO:0015991,ATP hydrolysis coupled proton transport
TraesCS1A03G0044200,GO:0006139,nucleobase-containing compound metabolic process
TraesCS1A03G0045000,GO:0008152,metabolic process
TraesCS1A03G0045100,GO:0008152,metabolic process
TraesCS1A03G0045600,GO:0055114,oxidation-reduction process
TraesCS1A03G0046900,GO:0055114,oxidation-reduction process
TraesCS1A03G0047400,GO:0055085,transmembrane transport
TraesCS1A03G0048800,GO:0055114,oxidation-reduction process
TraesCS1A03G0049100,GO:0055114,oxidation-reduction process
TraesCS1A03G0049900,GO:0009611,response to wounding
TraesCS1A03G0050000,GO:0009611,response to wounding
TraesCS1A03G0050100,GO:0009611,response to wounding
TraesCS1A03G0051100,GO:0015031,protein transport
TraesCS1A03G0051100,GO:0006605,protein targeting
TraesCS1A03G0051100,GO:0006886,intracellular protein transport
TraesCS1A03G0054800,GO:0005975,carbohydrate metabolic process
TraesCS1A03G0055800,GO:0006468,protein phosphorylation
TraesCS1A03G0056400,GO:0006367,transcription initiation from RNA polymerase II promoter
TraesCS1A03G0056600,GO:0006396,RNA processing
TraesCS1A03G0056600,GO:0001522,pseudouridine synthesis
TraesCS1A03G0056600,GO:0009451,RNA modification
TraesCS1A03G0056700,GO:0009611,response to wounding
TraesCS1A03G0057300,GO:0009611,response to wounding
TraesCS1A03G0057400,GO:0009611,response to wounding
TraesCS1A03G0057500,GO:0006412,translation
TraesCS1A03G0057700,GO:0009611,response to wounding
TraesCS1A03G0059600,GO:0055114,oxidation-reduction process
TraesCS1A03G0059700,GO:0006468,protein phosphorylation
TraesCS1A03G0061200,GO:0009058,biosynthetic process
TraesCS1A03G0061400,GO:0009611,response to wounding
TraesCS1A03G0061500,GO:0009611,response to wounding
TraesCS1A03G0061600,GO:0009611,response to wounding
TraesCS1A03G0062500,GO:0055114,oxidation-reduction process
TraesCS1A03G0062700,GO:0006355,"regulation of transcription, DNA-templated"
TraesCS1A03G0062700,GO:0006289,nucleotide-excision repair
TraesCS1A03G0062800,GO:0006508,proteolysis
TraesCS1A03G0064700,GO:0009611,response to wounding
TraesCS1A03G0064800,GO:0009611,response to wounding
TraesCS1A03G0064900,GO:0009611,response to wounding
TraesCS1A03G0068000,GO:0055085,transmembrane transport
TraesCS1A03G0068000,GO:0006855,drug transmembrane transport
TraesCS1A03G0070300,GO:0006468,protein phosphorylation
TraesCS1A03G0070500,GO:0006508,proteolysis
TraesCS1A03G0070800,GO:0006468,protein phosphorylation
TraesCS1A03G0070900,GO:0006810,transport
TraesCS1A03G0070900,GO:0006857,oligopeptide transport
TraesCS1A03G0071900,GO:0006468,protein phosphorylation
TraesCS1A03G0072000,GO:0006468,protein phosphorylation
TraesCS1A03G0072300,GO:0009058,biosynthetic process
TraesCS1A03G0072300,GO:0008152,metabolic process
TraesCS1A03G0072500,GO:0009058,biosynthetic process
TraesCS1A03G0072500,GO:0008152,metabolic process
TraesCS1A03G0073200,GO:0055114,oxidation-reduction process
TraesCS1A03G0073300,GO:0006260,DNA replication
TraesCS1A03G0073300,GO:0006310,DNA recombination
TraesCS1A03G0073300,GO:0006281,DNA repair
TraesCS1A03G0073400,GO:0019752,carboxylic acid metabolic process
TraesCS1A03G0073400,GO:0006520,cellular amino acid metabolic process
TraesCS1A03G0073500,GO:0006855,drug transmembrane transport
TraesCS1A03G0073500,GO:0055085,transmembrane transport
TraesCS1A03G0079200,GO:0006629,lipid metabolic process
TraesCS1A03G0080500,GO:0055114,oxidation-reduction process
TraesCS1A03G0081200,GO:0048268,clathrin coat assembly
TraesCS1A03G0081500,GO:0006355,"regulation of transcription, DNA-templated"
TraesCS1A03G0083200,GO:0006468,protein phosphorylation
TraesCS1A03G0084400,GO:0008152,metabolic process
TraesCS1A03G0084800,GO:0009813,flavonoid biosynthetic process
TraesCS1A03G0085000,GO:0006486,protein glycosylation
TraesCS1A03G0089100,GO:0055085,transmembrane transport
TraesCS1A03G0089100,GO:0006812,cation transport
TraesCS1A03G0089400,GO:0008152,metabolic process
TraesCS1A03G0089400,GO:0006633,fatty acid biosynthetic process
TraesCS1A03G0089500,GO:0006559,L-phenylalanine catabolic process
TraesCS1A03G0089700,GO:0006559,L-phenylalanine catabolic process
TraesCS1A03G0090900,GO:0006796,phosphate-containing compound metabolic process
TraesCS1A03G0091000,GO:0006471,protein ADP-ribosylation
TraesCS1A03G0093700,GO:0046856,phosphatidylinositol dephosphorylation
TraesCS1A03G0095200,GO:0055085,transmembrane transport
TraesCS1A03G0095200,GO:0006810,transport
TraesCS1A03G0095400,GO:0008152,metabolic process
TraesCS1A03G0095400,GO:0006633,fatty acid biosynthetic process
TraesCS1A03G0096700,GO:0006096,glycolytic process
TraesCS1A03G0096700,GO:0006094,gluconeogenesis
TraesCS1A03G0097100,GO:0006633,fatty acid biosynthetic process
TraesCS1A03G0097100,GO:0008152,metabolic process
TraesCS1A03G0098200,GO:0009611,response to wounding
TraesCS1A03G0098300,GO:0009611,response to wounding
TraesCS1A03G0098700,GO:0009611,response to wounding
TraesCS1A03G0098800,GO:0009611,response to wounding
TraesCS1A03G0098900,GO:0009611,response to wounding
TraesCS1A03G1000400,GO:0006508,proteolysis
TraesCS1A03G1000900,GO:0016226,iron-sulfur cluster assembly
TraesCS1A03G1002500,GO:0006355,"regulation of transcription, DNA-templated"
TraesCS1A03G1002600,GO:0005975,carbohydrate metabolic process
TraesCS1A03G1003900,GO:0006355,"regulation of transcription, DNA-templated"
TraesCS1A03G1004000,GO:0006355,"regulation of transcription, DNA-templated"
TraesCS1A03G1004100,GO:0006355,"regulation of transcription, DNA-templated"
TraesCS1A03G1004700,GO:0006355,"regulation of transcription, DNA-templated"
TraesCS1A03G1005700,GO:0006221,pyrimidine nucleotide biosynthetic process
TraesCS1A03G1006100,GO:0006355,"regulation of transcription, DNA-templated"
TraesCS1A03G1006500,GO:0055114,oxidation-reduction process
TraesCS1A03G1006500,GO:0009082,branched-chain amino acid biosynthetic process
TraesCS1A03G1006600,GO:0006629,lipid metabolic process
TraesCS1A03G1007100,GO:0006629,lipid metabolic process
TraesCS1A03G1007800,GO:0006629,lipid metabolic process
TraesCS1A03G1008300,GO:0006629,lipid metabolic process
TraesCS1A03G1008400,GO:0019752,carboxylic acid metabolic process
TraesCS1A03G1008400,GO:0055114,oxidation-reduction process
TraesCS1A03G1008400,GO:0005975,carbohydrate metabolic process
TraesCS1A03G1008400,GO:0006108,malate metabolic process
TraesCS1A03G1008600,GO:0006913,nucleocytoplasmic transport
TraesCS1A03G1008600,GO:0007165,signal transduction
TraesCS1A03G1008600,GO:0006886,intracellular protein transport
TraesCS1A03G1009100,GO:0006355,"regulation of transcription, DNA-templated"
TraesCS1A03G1009900,GO:0008152,metabolic process
TraesCS1A03G1009900,GO:0006633,fatty acid biosynthetic process
TraesCS1A03G1011400,GO:0051603,proteolysis involved in cellular protein catabolic process
TraesCS1A03G1012500,GO:0055114,oxidation-reduction process
TraesCS1A03G1014400,GO:0006468,protein phosphorylation
TraesCS1A03G1014500,GO:0055085,transmembrane transport
TraesCS1A03G1015200,GO:0055085,transmembrane transport
TraesCS1A03G1015600,GO:0008152,metabolic process
TraesCS1A03G1015700,GO:0055114,oxidation-reduction process
TraesCS1A03G1016000,GO:0006468,protein phosphorylation
TraesCS1A03G1018900,GO:0006189,'de novo' IMP biosynthetic process
TraesCS1A03G1018900,GO:0009058,biosynthetic process
TraesCS1A03G1019700,GO:0055114,oxidation-reduction process
TraesCS1A03G1019700,GO:0006694,steroid biosynthetic process
TraesCS1A03G1019900,GO:0005975,carbohydrate metabolic process
TraesCS1A03G1020200,GO:0006355,"regulation of transcription, DNA-templated"
TraesCS1A03G1020700,GO:0055085,transmembrane transport
TraesCS1A03G1021200,GO:0006281,DNA repair
TraesCS1A03G1021200,GO:0006284,base-excision repair
TraesCS1A03G1021300,GO:0008152,metabolic process
TraesCS1A03G1021900,GO:0006468,protein phosphorylation
TraesCS1A03G1022100,GO:0055114,oxidation-reduction process
TraesCS1A03G1023500,GO:0031145,anaphase-promoting complex-dependent catabolic process
TraesCS1A03G1023500,GO:0030071,regulation of mitotic metaphase/anaphase transition
TraesCS1A03G1024400,GO:0009058,biosynthetic process
TraesCS1A03G1024400,GO:0005978,glycogen biosynthetic process
TraesCS1A03G1024600,GO:0006139,nucleobase-containing compound metabolic process
TraesCS1A03G1027000,GO:0015979,photosynthesis
TraesCS1A03G1027000,GO:0008299,isoprenoid biosynthetic process
TraesCS1A03G1027100,GO:0006468,protein phosphorylation
TraesCS1A03G1027700,GO:0006508,proteolysis
TraesCS1A03G1028300,GO:0006508,proteolysis
TraesCS1A03G1028400,GO:0007264,small GTPase mediated signal transduction
TraesCS1A03G1028500,GO:0006355,"regulation of transcription, DNA-templated"
TraesCS1A03G1028600,GO:0006355,"regulation of transcription, DNA-templated"
TraesCS1A03G0102900,GO:0034968,histone lysine methylation
TraesCS1A03G0102900,GO:0016571,histone methylation
TraesCS1A03G1029000,GO:0006529,asparagine biosynthetic process
TraesCS1A03G1029600,GO:0005975,carbohydrate metabolic process
TraesCS1A03G1029800,GO:0006468,protein phosphorylation
TraesCS1A03G1029900,GO:0006468,protein phosphorylation
TraesCS1A03G1030100,GO:0006468,protein phosphorylation
TraesCS1A03G1030200,GO:0005975,carbohydrate metabolic process
TraesCS1A03G1030300,GO:0055085,transmembrane transport
TraesCS1A03G1030700,GO:0006508,proteolysis
TraesCS1A03G1031600,GO:0009269,response to desiccation
